yourlist:M201904218471C63D39733769F8E060B506551E1205F956D	Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)
STRAP	Q9Y3F4	STRAP_HUMAN	Serine-threonine kinase receptor-associated protein (MAP activator with WD repeats) (UNR-interacting protein) (WD-40 repeat protein PT-WD)	Homo sapiens (Human)	350	STRAP	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; SMN complex [GO:0032797]; SMN-Sm protein complex [GO:0034719]
SUGP2	Q8IX01	SUGP2_HUMAN	SURP and G-patch domain-containing protein 2 (Arginine/serine-rich-splicing factor 14) (Splicing factor, arginine/serine-rich 14)	Homo sapiens (Human)	1082	SUGP2	nuclear body [GO:0016604]; nucleoplasm [GO:0005654]
SYNE1	Q8NF91	SYNE1_HUMAN	Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)	Homo sapiens (Human)	8797	SYNE1	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; meiotic nuclear membrane microtubule tethering complex [GO:0034993]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear outer membrane [GO:0005640]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; postsynaptic membrane [GO:0045211]; sarcomere [GO:0030017]
TCP1	P17987	TCPA_HUMAN	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	Homo sapiens (Human)	556	TCP1	acrosomal vesicle [GO:0001669]; cell body [GO:0044297]; centrosome [GO:0005813]; chaperonin-containing T-complex [GO:0005832]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; nuclear heterochromatin [GO:0005720]; pericentriolar material [GO:0000242]; zona pellucida receptor complex [GO:0002199]
TERT	O14746	TERT_HUMAN	Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2)	Homo sapiens (Human)	1132	TERT	chromosome, telomeric region [GO:0000781]; cytosol [GO:0005829]; mitochondrial nucleoid [GO:0042645]; nuclear chromosome, telomeric region [GO:0000784]; nuclear speck [GO:0016607]; nuclear telomere cap complex [GO:0000783]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; PML body [GO:0016605]; RNA-directed RNA polymerase complex [GO:0031379]; telomerase catalytic core complex [GO:0000333]; telomerase holoenzyme complex [GO:0005697]; TERT-RMRP complex [GO:1990572]
TNRC6B	Q9UPQ9	TNR6B_HUMAN	Trinucleotide repeat-containing gene 6B protein	Homo sapiens (Human)	1833	TNRC6B	cytosol [GO:0005829]; micro-ribonucleoprotein complex [GO:0035068]; nucleoplasm [GO:0005654]; P-body [GO:0000932]
TPT1	P13693	TCTP_HUMAN	Translationally-controlled tumor protein (TCTP) (Fortilin) (Histamine-releasing factor) (HRF) (p23)	Homo sapiens (Human)	172	TPT1	cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; multivesicular body [GO:0005771]; nucleus [GO:0005634]; spindle pole [GO:0000922]
TRDMT1	O14717	TRDMT_HUMAN	tRNA (cytosine(38)-C(5))-methyltransferase (EC 2.1.1.204) (DNA (cytosine-5)-methyltransferase-like protein 2) (Dnmt2) (DNA methyltransferase homolog HsaIIP) (DNA MTase homolog HsaIIP) (M.HsaIIP) (PuMet)	Homo sapiens (Human)	391	TRDMT1	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]
TRIM21	P19474	RO52_HUMAN	E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (RING-type E3 ubiquitin transferase TRIM21) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (SS-A) (Tripartite motif-containing protein 21)	Homo sapiens (Human)	475	TRIM21	autophagosome [GO:0005776]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; ribonucleoprotein complex [GO:1990904]
TRIM25	Q14258	TRI25_HUMAN	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	Homo sapiens (Human)	630	TRIM25	cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]
TRIM56	Q9BRZ2	TRI56_HUMAN	E3 ubiquitin-protein ligase TRIM56 (EC 2.3.2.27) (RING finger protein 109) (RING-type E3 ubiquitin transferase TRIM56) (Tripartite motif-containing protein 56)	Homo sapiens (Human)	755	TRIM56	cytoplasm [GO:0005737]; cytosol [GO:0005829]
TRIP6	Q15654	TRIP6_HUMAN	Thyroid receptor-interacting protein 6 (TR-interacting protein 6) (TRIP-6) (Opa-interacting protein 1) (OIP-1) (Zyxin-related protein 1) (ZRP-1)	Homo sapiens (Human)	476	TRIP6	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
TUFM	P49411	EFTU_HUMAN	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	Homo sapiens (Human)	452	TUFM	extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; synapse [GO:0045202]
TXN	P10599	THIO_HUMAN	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP)	Homo sapiens (Human)	105	TXN	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]
U2AF1	Q01081	U2AF1_HUMAN	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 small nuclear RNA auxiliary factor 1) (U2 snRNP auxiliary factor small subunit)	Homo sapiens (Human)	240	U2AF1	Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2AF [GO:0089701]
UBA1	P22314	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	Homo sapiens (Human)	1058	UBA1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
UBAP2	Q5T6F2	UBAP2_HUMAN	Ubiquitin-associated protein 2 (UBAP-2)	Homo sapiens (Human)	1119	UBAP2	cytoplasm [GO:0005737]; nucleus [GO:0005634]
UBAP2L	Q14157	UBP2L_HUMAN	Ubiquitin-associated protein 2-like (Protein NICE-4)	Homo sapiens (Human)	1087	UBAP2L	cytoplasm [GO:0005737]; nucleus [GO:0005634]; PcG protein complex [GO:0031519]
UPF1	Q92900	RENT1_HUMAN	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	Homo sapiens (Human)	1129	UPF1	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; exon-exon junction complex [GO:0035145]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; supraspliceosomal complex [GO:0044530]
USP10	Q14694	UBP10_HUMAN	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	Homo sapiens (Human)	798	USP10	cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
USP10	Q8NFA0	UBP32_HUMAN	Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32)	Homo sapiens (Human)	1604	USP32	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]
XRN1	Q8IZH2	XRN1_HUMAN	5'-3' exoribonuclease 1 (EC 3.1.13.-) (Strand-exchange protein 1 homolog)	Homo sapiens (Human)	1706	XRN1	cytosol [GO:0005829]; dendrite [GO:0030425]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; P-body [GO:0000932]; plasma membrane [GO:0005886]; synapse [GO:0045202]
YARS	P54577	SYYC_HUMAN	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]	Homo sapiens (Human)	528	YARS	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; methionyl glutamyl tRNA synthetase complex [GO:0017102]; nuclear body [GO:0016604]
YBX3	P16989	YBOX3_HUMAN	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	Homo sapiens (Human)	372	YBX3	bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
YTHDF1	Q9BYJ9	YTHD1_HUMAN	YTH domain-containing family protein 1 (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)	Homo sapiens (Human)	559	YTHDF1	cytoplasm [GO:0005737]
YTHDF2	Q9Y5A9	YTHD2_HUMAN	YTH domain-containing family protein 2 (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	Homo sapiens (Human)	579	YTHDF2	cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; P-body [GO:0000932]
YTHDF3	Q7Z739	YTHD3_HUMAN	YTH domain-containing family protein 3	Homo sapiens (Human)	585	YTHDF3	cytosol [GO:0005829]
ZBP1	Q9H171	ZBP1_HUMAN	Z-DNA-binding protein 1 (Tumor stroma and activated macrophage protein DLM-1)	Homo sapiens (Human)	429	ZBP1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
IGF2BP1,ZBP1	Q9NZI8	IF2B1_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IMP1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)	Homo sapiens (Human)	577	IGF2BP1	CRD-mediated mRNA stability complex [GO:0070937]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; ribonucleoprotein complex [GO:1990904]
ZC3H14	Q6PJT7	ZC3HE_HUMAN	Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37)	Homo sapiens (Human)	736	ZC3H14	axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; dendrite cytoplasm [GO:0032839]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
ZC3H7A	Q8IWR0	Z3H7A_HUMAN	Zinc finger CCCH domain-containing protein 7A	Homo sapiens (Human)	971	ZC3H7A	nucleus [GO:0005634]
ZC3H7B	Q9UGR2	Z3H7B_HUMAN	Zinc finger CCCH domain-containing protein 7B (Rotavirus 'X'-associated non-structural protein) (RoXaN)	Homo sapiens (Human)	977	ZC3H7B	nucleus [GO:0005634]
ZC3HAV1	Q7Z2W4	ZCCHV_HUMAN	Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Inactive Poly [ADP-ribose] polymerase 13) (PARP13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP)	Homo sapiens (Human)	902	ZC3HAV1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
ZNF638	Q14966	ZN638_HUMAN	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	Homo sapiens (Human)	1978	ZNF638	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]
