Entry	Entry name	Status	Protein names	Organism	Length	Gene names  (primary )	Glycosylation
Q13315	ATM_HUMAN	reviewed	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	Homo sapiens (Human)	3056	ATM	
Q13347	EIF3I_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)	Homo sapiens (Human)	325	EIF3I	
Q13409	DC1I2_HUMAN	reviewed	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)	Homo sapiens (Human)	638	DYNC1I2	
Q13423	NNTM_HUMAN	reviewed	NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)	Homo sapiens (Human)	1086	NNT	
Q13425	SNTB2_HUMAN	reviewed	Beta-2-syntrophin (59 kDa dystrophin-associated protein A1 basic component 2) (Syntrophin-3) (SNT3) (Syntrophin-like) (SNTL)	Homo sapiens (Human)	540	SNTB2	
Q13427	PPIG_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G)	Homo sapiens (Human)	754	PPIG	
Q13428	TCOF_HUMAN	reviewed	Treacle protein (Treacher Collins syndrome protein)	Homo sapiens (Human)	1488	TCOF1	
Q13435	SF3B2_HUMAN	reviewed	Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145)	Homo sapiens (Human)	895	SF3B2	
Q13439	GOGA4_HUMAN	reviewed	Golgin subfamily A member 4 (256 kDa golgin) (Golgin-245) (Protein 72.1) (Trans-Golgi p230)	Homo sapiens (Human)	2230	GOLGA4	CARBOHYD 585 585 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00498}.; CARBOHYD 1612 1612 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00498}.
Q13442	HAP28_HUMAN	reviewed	28 kDa heat- and acid-stable phosphoprotein (PDGF-associated protein) (PAP) (PDGFA-associated protein 1) (PAP1)	Homo sapiens (Human)	181	PDAP1	
Q13443	ADAM9_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)	Homo sapiens (Human)	819	ADAM9	CARBOHYD 125 125 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 144 144 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 154 154 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 231 231 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 381 381 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 487 487 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q13459	MYO9B_HUMAN	reviewed	Unconventional myosin-IXb (Unconventional myosin-9b)	Homo sapiens (Human)	2157	MYO9B	
Q13488	VPP3_HUMAN	reviewed	V-type proton ATPase 116 kDa subunit a isoform 3 (V-ATPase 116 kDa isoform a3) (Osteoclastic proton pump 116 kDa subunit) (OC-116 kDa) (OC116) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein) (TIRC7) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3)	Homo sapiens (Human)	830	TCIRG1	
Q13492	PICAL_HUMAN	reviewed	Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia protein)	Homo sapiens (Human)	652	PICALM	
Q13501	SQSTM_HUMAN	reviewed	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	Homo sapiens (Human)	440	SQSTM1	
Q13523	PRP4B_HUMAN	reviewed	Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog)	Homo sapiens (Human)	1007	PRPF4B	
Q13561	DCTN2_HUMAN	reviewed	Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit) (DCTN-50) (p50 dynamitin)	Homo sapiens (Human)	401	DCTN2	
Q13573	SNW1_HUMAN	reviewed	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	Homo sapiens (Human)	536	SNW1	
Q13586	STIM1_HUMAN	reviewed	Stromal interaction molecule 1	Homo sapiens (Human)	685	STIM1	CARBOHYD 131 131 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:11983428}.; CARBOHYD 171 171 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:11983428, ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:19159218}.
Q13595	TRA2A_HUMAN	reviewed	Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)	Homo sapiens (Human)	282	TRA2A	
Q13596	SNX1_HUMAN	reviewed	Sorting nexin-1	Homo sapiens (Human)	522	SNX1	
Q13625	ASPP2_HUMAN	reviewed	Apoptosis-stimulating of p53 protein 2 (Bcl2-binding protein) (Bbp) (Renal carcinoma antigen NY-REN-51) (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2)	Homo sapiens (Human)	1128	TP53BP2	
Q13630	FCL_HUMAN	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	Homo sapiens (Human)	321	TSTA3	
Q13641	TPBG_HUMAN	reviewed	Trophoblast glycoprotein (5T4 oncofetal antigen) (5T4 oncofetal trophoblast glycoprotein) (5T4 oncotrophoblast glycoprotein) (M6P1) (Wnt-activated inhibitory factor 1) (WAIF1)	Homo sapiens (Human)	420	TPBG	CARBOHYD 81 81 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 124 124 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 275 275 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q13724	MOGS_HUMAN	reviewed	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I)	Homo sapiens (Human)	837	MOGS	CARBOHYD 657 657 N-linked (GlcNAc...) asparagine.
Q13740	CD166_HUMAN	reviewed	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	Homo sapiens (Human)	583	ALCAM	CARBOHYD 91 91 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 95 95 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218}.; CARBOHYD 167 167 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519}.; CARBOHYD 265 265 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.; CARBOHYD 306 306 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 361 361 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 457 457 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 480 480 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 499 499 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:16335952}.
Q13796	SHRM2_HUMAN	reviewed	Protein Shroom2 (Apical-like protein) (Protein APXL)	Homo sapiens (Human)	1616	SHROOM2	
Q13813	SPTN1_HUMAN	reviewed	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)	Homo sapiens (Human)	2472	SPTAN1	
Q13835	PKP1_HUMAN	reviewed	Plakophilin-1 (Band 6 protein) (B6P)	Homo sapiens (Human)	747	PKP1	
Q13885	TBB2A_HUMAN	reviewed	Tubulin beta-2A chain (Tubulin beta class IIa)	Homo sapiens (Human)	445	TUBB2A	
Q13948	CASP_HUMAN	reviewed	Protein CASP	Homo sapiens (Human)	678	CUX1	
Q14008	CKAP5_HUMAN	reviewed	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	Homo sapiens (Human)	2032	CKAP5	
Q14011	CIRBP_HUMAN	reviewed	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	Homo sapiens (Human)	172	CIRBP	
Q14103	HNRPD_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	Homo sapiens (Human)	355	HNRNPD	
Q14108	SCRB2_HUMAN	reviewed	Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36)	Homo sapiens (Human)	478	SCARB2	CARBOHYD 45 45 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 68 68 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 105 105 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 206 206 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 224 224 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:24162852}.; CARBOHYD 249 249 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 304 304 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 325 325 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 412 412 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:24162852}.; CARBOHYD 430 430 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q14126	DSG2_HUMAN	reviewed	Desmoglein-2 (Cadherin family member 5) (HDGC)	Homo sapiens (Human)	1118	DSG2	CARBOHYD 112 112 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 182 182 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 309 309 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 462 462 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19349973}.; CARBOHYD 514 514 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q14137	BOP1_HUMAN	reviewed	Ribosome biogenesis protein BOP1 (Block of proliferation 1 protein)	Homo sapiens (Human)	746	BOP1	
Q14151	SAFB2_HUMAN	reviewed	Scaffold attachment factor B2 (SAF-B2)	Homo sapiens (Human)	953	SAFB2	
Q14152	EIF3A_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	Homo sapiens (Human)	1382	EIF3A	
Q14156	EFR3A_HUMAN	reviewed	Protein EFR3 homolog A (Protein EFR3-like)	Homo sapiens (Human)	821	EFR3A	
Q14157	UBP2L_HUMAN	reviewed	Ubiquitin-associated protein 2-like (Protein NICE-4)	Homo sapiens (Human)	1087	UBAP2L	
Q14160	SCRIB_HUMAN	reviewed	Protein scribble homolog (Scribble) (hScrib) (Protein LAP4)	Homo sapiens (Human)	1630	SCRIB	
Q14165	MLEC_HUMAN	reviewed	Malectin	Homo sapiens (Human)	292	MLEC	CARBOHYD 268 268 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q14166	TTL12_HUMAN	reviewed	Tubulin--tyrosine ligase-like protein 12	Homo sapiens (Human)	644	TTLL12	
Q14192	FHL2_HUMAN	reviewed	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	Homo sapiens (Human)	279	FHL2	
Q14194	DPYL1_HUMAN	reviewed	Dihydropyrimidinase-related protein 1 (DRP-1) (Collapsin response mediator protein 1) (CRMP-1) (Unc-33-like phosphoprotein 3) (ULIP-3)	Homo sapiens (Human)	572	CRMP1	
Q14195	DPYL3_HUMAN	reviewed	Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1)	Homo sapiens (Human)	570	DPYSL3	
Q14202	ZMYM3_HUMAN	reviewed	Zinc finger MYM-type protein 3 (Zinc finger protein 261)	Homo sapiens (Human)	1370	ZMYM3	
Q14203	DCTN1_HUMAN	reviewed	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)	Homo sapiens (Human)	1278	DCTN1	
Q14204	DYHC1_HUMAN	reviewed	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)	Homo sapiens (Human)	4646	DYNC1H1	
Q14240	IF4A2_HUMAN	reviewed	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	Homo sapiens (Human)	407	EIF4A2	
Q14247	SRC8_HUMAN	reviewed	Src substrate cortactin (Amplaxin) (Oncogene EMS1)	Homo sapiens (Human)	550	CTTN	
Q14257	RCN2_HUMAN	reviewed	Reticulocalbin-2 (Calcium-binding protein ERC-55) (E6-binding protein) (E6BP)	Homo sapiens (Human)	317	RCN2	
Q14258	TRI25_HUMAN	reviewed	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	Homo sapiens (Human)	630	TRIM25	
Q14315	FLNC_HUMAN	reviewed	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	Homo sapiens (Human)	2725	FLNC	
Q14318	FKBP8_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	Homo sapiens (Human)	412	FKBP8	
Q14344	GNA13_HUMAN	reviewed	Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)	Homo sapiens (Human)	377	GNA13	
Q14444	CAPR1_HUMAN	reviewed	Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	Homo sapiens (Human)	709	CAPRIN1	
Q14498	RBM39_HUMAN	reviewed	RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	Homo sapiens (Human)	530	RBM39	
Q14562	DHX8_HUMAN	reviewed	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8) (RNA helicase HRH1)	Homo sapiens (Human)	1220	DHX8	
Q14566	MCM6_HUMAN	reviewed	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)	Homo sapiens (Human)	821	MCM6	
Q14573	ITPR3_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)	Homo sapiens (Human)	2671	ITPR3	
Q14596	NBR1_HUMAN	reviewed	Next to BRCA1 gene 1 protein (Cell migration-inducing gene 19 protein) (Membrane component chromosome 17 surface marker 2) (Neighbor of BRCA1 gene 1 protein) (Protein 1A1-3B)	Homo sapiens (Human)	966	NBR1	
Q14667	K0100_HUMAN	reviewed	Protein KIAA0100 (Antigen MLAA-22) (Breast cancer-overexpressed gene 1 protein)	Homo sapiens (Human)	2235	KIAA0100	CARBOHYD 730 730 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q14669	TRIPC_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (E3 ubiquitin-protein ligase for Arf) (ULF) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	Homo sapiens (Human)	1992	TRIP12	
Q14671	PUM1_HUMAN	reviewed	Pumilio homolog 1 (HsPUM) (Pumilio-1)	Homo sapiens (Human)	1186	PUM1	
Q14676	MDC1_HUMAN	reviewed	Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1)	Homo sapiens (Human)	2089	MDC1	
Q14677	EPN4_HUMAN	reviewed	Clathrin interactor 1 (Clathrin-interacting protein localized in the trans-Golgi region) (Clint) (Enthoprotin) (Epsin-4) (Epsin-related protein) (EpsinR)	Homo sapiens (Human)	625	CLINT1	
Q14683	SMC1A_HUMAN	reviewed	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)	Homo sapiens (Human)	1233	SMC1A	
Q14684	RRP1B_HUMAN	reviewed	Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B)	Homo sapiens (Human)	758	RRP1B	
Q14690	RRP5_HUMAN	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	Homo sapiens (Human)	1871	PDCD11	
Q14692	BMS1_HUMAN	reviewed	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	Homo sapiens (Human)	1282	BMS1	
Q14694	UBP10_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	Homo sapiens (Human)	798	USP10	
Q14697	GANAB_HUMAN	reviewed	Neutral alpha-glucosidase AB (EC 3.2.1.84) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	Homo sapiens (Human)	944	GANAB	CARBOHYD 97 97 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:3881423}.
Q14739	LBR_HUMAN	reviewed	Delta(14)-sterol reductase (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase)	Homo sapiens (Human)	615	LBR	
Q14764	MVP_HUMAN	reviewed	Major vault protein (MVP) (Lung resistance-related protein)	Homo sapiens (Human)	893	MVP	
Q14781	CBX2_HUMAN	reviewed	Chromobox protein homolog 2	Homo sapiens (Human)	532	CBX2	
Q14789	GOGB1_HUMAN	reviewed	Golgin subfamily B member 1 (372 kDa Golgi complex-associated protein) (GCP372) (Giantin) (Macrogolgin)	Homo sapiens (Human)	3259	GOLGB1	
Q14839	CHD4_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)	Homo sapiens (Human)	1912	CHD4	
Q14847	LASP1_HUMAN	reviewed	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)	Homo sapiens (Human)	261	LASP1	
Q14966	ZN638_HUMAN	reviewed	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	Homo sapiens (Human)	1978	ZNF638	
Q14974	IMB1_HUMAN	reviewed	Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97)	Homo sapiens (Human)	876	KPNB1	
Q14978	NOLC1_HUMAN	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	Homo sapiens (Human)	699	NOLC1	
Q14980	NUMA1_HUMAN	reviewed	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)	Homo sapiens (Human)	2115	NUMA1	CARBOHYD 1844 1844 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20068230}.
Q14997	PSME4_HUMAN	reviewed	Proteasome activator complex subunit 4 (Proteasome activator PA200)	Homo sapiens (Human)	1843	PSME4	
Q14999	CUL7_HUMAN	reviewed	Cullin-7 (CUL-7)	Homo sapiens (Human)	1698	CUL7	
Q14C86	GAPD1_HUMAN	reviewed	GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6)	Homo sapiens (Human)	1478	GAPVD1	
Q15003	CND2_HUMAN	reviewed	Condensin complex subunit 2 (Barren homolog protein 1) (Chromosome-associated protein H) (hCAP-H) (Non-SMC condensin I complex subunit H) (XCAP-H homolog)	Homo sapiens (Human)	741	NCAPH	
Q15019	SEPT2_HUMAN	reviewed	Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5)	Homo sapiens (Human)	361	SEPT2	
Q15020	SART3_HUMAN	reviewed	Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3) (Tat-interacting protein of 110 kDa) (Tip110) (p110 nuclear RNA-binding protein)	Homo sapiens (Human)	963	SART3	
Q15021	CND1_HUMAN	reviewed	Condensin complex subunit 1 (Chromosome condensation-related SMC-associated protein 1) (Chromosome-associated protein D2) (hCAP-D2) (Non-SMC condensin I complex subunit D2) (XCAP-D2 homolog)	Homo sapiens (Human)	1401	NCAPD2	
Q15029	U5S1_HUMAN	reviewed	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	Homo sapiens (Human)	972	EFTUD2	
Q15031	SYLM_HUMAN	reviewed	Probable leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	Homo sapiens (Human)	903	LARS2	
Q15043	S39AE_HUMAN	reviewed	Zinc transporter ZIP14 (LIV-1 subfamily of ZIP zinc transporter 4) (LZT-Hs4) (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)	Homo sapiens (Human)	492	SLC39A14	CARBOHYD 77 77 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 102 102 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.
Q15046	SYK_HUMAN	reviewed	Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	Homo sapiens (Human)	597	KARS	
Q15050	RRS1_HUMAN	reviewed	Ribosome biogenesis regulatory protein homolog	Homo sapiens (Human)	365	RRS1	
Q15059	BRD3_HUMAN	reviewed	Bromodomain-containing protein 3 (RING3-like protein)	Homo sapiens (Human)	726	BRD3	
Q15061	WDR43_HUMAN	reviewed	WD repeat-containing protein 43 (U3 small nucleolar RNA-associated protein 5 homolog)	Homo sapiens (Human)	677	WDR43	
Q15075	EEA1_HUMAN	reviewed	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)	Homo sapiens (Human)	1411	EEA1	
Q15084	PDIA6_HUMAN	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5) (ER protein 5) (ERp5) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)	Homo sapiens (Human)	440	PDIA6	
Q15149	PLEC_HUMAN	reviewed	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	Homo sapiens (Human)	4684	PLEC	
Q15154	PCM1_HUMAN	reviewed	Pericentriolar material 1 protein (PCM-1) (hPCM-1)	Homo sapiens (Human)	2024	PCM1	
Q15155	NOMO1_HUMAN	reviewed	Nodal modulator 1 (pM5 protein)	Homo sapiens (Human)	1222	NOMO1	CARBOHYD 50 50 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 218 218 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 618 618 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
Q15181	IPYR_HUMAN	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	Homo sapiens (Human)	289	PPA1	
Q15185	TEBP_HUMAN	reviewed	Prostaglandin E synthase 3 (EC 5.3.99.3) (Cytosolic prostaglandin E2 synthase) (cPGES) (Hsp90 co-chaperone) (Progesterone receptor complex p23) (Telomerase-binding protein p23)	Homo sapiens (Human)	160	PTGES3	
Q15233	NONO_HUMAN	reviewed	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	Homo sapiens (Human)	471	NONO	
