yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
Q13347	Q13347	reviewed	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36)	Homo sapiens (Human)	325	EIF3I	EIF3I_HUMAN	
Q13409	Q13409	reviewed	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)	Homo sapiens (Human)	638	DYNC1I2	DC1I2_HUMAN	
Q13423	Q13423	reviewed	NAD(P) transhydrogenase, mitochondrial (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)	Homo sapiens (Human)	1086	NNT	NNTM_HUMAN	
Q13425	Q13425	reviewed	Beta-2-syntrophin (59 kDa dystrophin-associated protein A1 basic component 2) (Syntrophin-3) (SNT3) (Syntrophin-like) (SNTL)	Homo sapiens (Human)	540	SNTB2	SNTB2_HUMAN	
Q13427	Q13427	reviewed	Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G)	Homo sapiens (Human)	754	PPIG	PPIG_HUMAN	
Q13428	Q13428	reviewed	Treacle protein (Treacher Collins syndrome protein)	Homo sapiens (Human)	1488	TCOF1	TCOF_HUMAN	
Q13435	Q13435	reviewed	Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145)	Homo sapiens (Human)	895	SF3B2	SF3B2_HUMAN	
Q13439	Q13439	reviewed	Golgin subfamily A member 4 (256 kDa golgin) (Golgin-245) (Protein 72.1) (Trans-Golgi p230)	Homo sapiens (Human)	2230	GOLGA4	GOGA4_HUMAN	CARBOHYD 585 585 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00498}.; CARBOHYD 1612 1612 N-linked (GlcNAc...) asparagine. {ECO:0000255|PROSITE-ProRule:PRU00498}.
Q13442	Q13442	reviewed	28 kDa heat- and acid-stable phosphoprotein (PDGF-associated protein) (PAP) (PDGFA-associated protein 1) (PAP1)	Homo sapiens (Human)	181	PDAP1	HAP28_HUMAN	
Q13443	Q13443	reviewed	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)	Homo sapiens (Human)	819	ADAM9	ADAM9_HUMAN	CARBOHYD 125 125 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 144 144 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 154 154 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 231 231 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 381 381 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 487 487 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q13459	Q13459	reviewed	Unconventional myosin-IXb (Unconventional myosin-9b)	Homo sapiens (Human)	2157	MYO9B	MYO9B_HUMAN	
Q13488	Q13488	reviewed	V-type proton ATPase 116 kDa subunit a isoform 3 (V-ATPase 116 kDa isoform a3) (Osteoclastic proton pump 116 kDa subunit) (OC-116 kDa) (OC116) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein) (TIRC7) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3)	Homo sapiens (Human)	830	TCIRG1	VPP3_HUMAN	
Q13492	Q13492	reviewed	Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia protein)	Homo sapiens (Human)	652	PICALM	PICAL_HUMAN	
Q13501	Q13501	reviewed	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	Homo sapiens (Human)	440	SQSTM1	SQSTM_HUMAN	
Q13523	Q13523	reviewed	Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog)	Homo sapiens (Human)	1007	PRPF4B	PRP4B_HUMAN	
Q13555	Q13555	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17)	Homo sapiens (Human)	558	CAMK2G	KCC2G_HUMAN	
Q13557	Q13557	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)	Homo sapiens (Human)	499	CAMK2D	KCC2D_HUMAN	
Q13561	Q13561	reviewed	Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit) (DCTN-50) (p50 dynamitin)	Homo sapiens (Human)	401	DCTN2	DCTN2_HUMAN	
Q13573	Q13573	reviewed	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	Homo sapiens (Human)	536	SNW1	SNW1_HUMAN	
Q13576	Q13576	reviewed	Ras GTPase-activating-like protein IQGAP2	Homo sapiens (Human)	1575	IQGAP2	IQGA2_HUMAN	
Q13586	Q13586	reviewed	Stromal interaction molecule 1	Homo sapiens (Human)	685	STIM1	STIM1_HUMAN	CARBOHYD 131 131 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:11983428}.; CARBOHYD 171 171 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:11983428, ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:16263699, ECO:0000269|PubMed:19159218}.
Q13595	Q13595	reviewed	Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A)	Homo sapiens (Human)	282	TRA2A	TRA2A_HUMAN	
Q13596	Q13596	reviewed	Sorting nexin-1	Homo sapiens (Human)	522	SNX1	SNX1_HUMAN	
Q13625	Q13625	reviewed	Apoptosis-stimulating of p53 protein 2 (Bcl2-binding protein) (Bbp) (Renal carcinoma antigen NY-REN-51) (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2)	Homo sapiens (Human)	1128	TP53BP2	ASPP2_HUMAN	
Q13630	Q13630	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	Homo sapiens (Human)	321	TSTA3	FCL_HUMAN	
Q13641	Q13641	reviewed	Trophoblast glycoprotein (5T4 oncofetal antigen) (5T4 oncofetal trophoblast glycoprotein) (5T4 oncotrophoblast glycoprotein) (M6P1) (Wnt-activated inhibitory factor 1) (WAIF1)	Homo sapiens (Human)	420	TPBG	TPBG_HUMAN	CARBOHYD 81 81 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 124 124 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 275 275 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q13724	Q13724	reviewed	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I)	Homo sapiens (Human)	837	MOGS	MOGS_HUMAN	CARBOHYD 657 657 N-linked (GlcNAc...) asparagine.
Q13740	Q13740	reviewed	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	Homo sapiens (Human)	583	ALCAM	CD166_HUMAN	CARBOHYD 91 91 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 95 95 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218}.; CARBOHYD 167 167 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519}.; CARBOHYD 265 265 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.; CARBOHYD 306 306 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 361 361 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 457 457 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 480 480 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 499 499 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:16335952}.
Q13796	Q13796	reviewed	Protein Shroom2 (Apical-like protein) (Protein APXL)	Homo sapiens (Human)	1616	SHROOM2	SHRM2_HUMAN	
Q13813	Q13813	reviewed	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)	Homo sapiens (Human)	2472	SPTAN1	SPTN1_HUMAN	
Q13835	Q13835	reviewed	Plakophilin-1 (Band 6 protein) (B6P)	Homo sapiens (Human)	747	PKP1	PKP1_HUMAN	
Q13885	Q13885	reviewed	Tubulin beta-2A chain (Tubulin beta class IIa)	Homo sapiens (Human)	445	TUBB2A	TBB2A_HUMAN	
Q13948	Q13948	reviewed	Protein CASP	Homo sapiens (Human)	678	CUX1	CASP_HUMAN	
Q14008	Q14008	reviewed	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	Homo sapiens (Human)	2032	CKAP5	CKAP5_HUMAN	
Q14011	Q14011	reviewed	Cold-inducible RNA-binding protein (A18 hnRNP) (Glycine-rich RNA-binding protein CIRP)	Homo sapiens (Human)	172	CIRBP	CIRBP_HUMAN	
Q14103	Q14103	reviewed	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	Homo sapiens (Human)	355	HNRNPD	HNRPD_HUMAN	
Q14108	Q14108	reviewed	Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36)	Homo sapiens (Human)	478	SCARB2	SCRB2_HUMAN	CARBOHYD 45 45 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 68 68 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 105 105 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 206 206 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 224 224 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:24162852}.; CARBOHYD 249 249 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 304 304 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 325 325 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:24162852}.; CARBOHYD 412 412 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:24162852}.; CARBOHYD 430 430 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q14126	Q14126	reviewed	Desmoglein-2 (Cadherin family member 5) (HDGC)	Homo sapiens (Human)	1118	DSG2	DSG2_HUMAN	CARBOHYD 112 112 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:12754519, ECO:0000269|PubMed:19159218}.; CARBOHYD 182 182 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952, ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 309 309 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 462 462 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19349973}.; CARBOHYD 514 514 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q14137	Q14137	reviewed	Ribosome biogenesis protein BOP1 (Block of proliferation 1 protein)	Homo sapiens (Human)	746	BOP1	BOP1_HUMAN	
Q14151	Q14151	reviewed	Scaffold attachment factor B2 (SAF-B2)	Homo sapiens (Human)	953	SAFB2	SAFB2_HUMAN	
Q14152	Q14152	reviewed	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)	Homo sapiens (Human)	1382	EIF3A	EIF3A_HUMAN	
Q14156	Q14156	reviewed	Protein EFR3 homolog A (Protein EFR3-like)	Homo sapiens (Human)	821	EFR3A	EFR3A_HUMAN	
Q14157	Q14157	reviewed	Ubiquitin-associated protein 2-like (Protein NICE-4)	Homo sapiens (Human)	1087	UBAP2L	UBP2L_HUMAN	
Q14160	Q14160	reviewed	Protein scribble homolog (Scribble) (hScrib) (Protein LAP4)	Homo sapiens (Human)	1630	SCRIB	SCRIB_HUMAN	
Q14165	Q14165	reviewed	Malectin	Homo sapiens (Human)	292	MLEC	MLEC_HUMAN	CARBOHYD 268 268 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q14166	Q14166	reviewed	Tubulin--tyrosine ligase-like protein 12	Homo sapiens (Human)	644	TTLL12	TTL12_HUMAN	
Q14192	Q14192	reviewed	Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)	Homo sapiens (Human)	279	FHL2	FHL2_HUMAN	
Q14194	Q14194	reviewed	Dihydropyrimidinase-related protein 1 (DRP-1) (Collapsin response mediator protein 1) (CRMP-1) (Unc-33-like phosphoprotein 3) (ULIP-3)	Homo sapiens (Human)	572	CRMP1	DPYL1_HUMAN	
Q14195	Q14195	reviewed	Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1)	Homo sapiens (Human)	570	DPYSL3	DPYL3_HUMAN	
Q14202	Q14202	reviewed	Zinc finger MYM-type protein 3 (Zinc finger protein 261)	Homo sapiens (Human)	1370	ZMYM3	ZMYM3_HUMAN	
Q14203	Q14203	reviewed	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)	Homo sapiens (Human)	1278	DCTN1	DCTN1_HUMAN	
Q14204	Q14204	reviewed	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)	Homo sapiens (Human)	4646	DYNC1H1	DYHC1_HUMAN	
Q14240	Q14240	reviewed	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	Homo sapiens (Human)	407	EIF4A2	IF4A2_HUMAN	
Q14241	Q14241	reviewed	Elongin-A (EloA) (Elongin 110 kDa subunit) (RNA polymerase II transcription factor SIII subunit A1) (SIII p110) (Transcription elongation factor B polypeptide 3)	Homo sapiens (Human)	798	ELOA	ELOA1_HUMAN	
Q14247	Q14247	reviewed	Src substrate cortactin (Amplaxin) (Oncogene EMS1)	Homo sapiens (Human)	550	CTTN	SRC8_HUMAN	
Q14257	Q14257	reviewed	Reticulocalbin-2 (Calcium-binding protein ERC-55) (E6-binding protein) (E6BP)	Homo sapiens (Human)	317	RCN2	RCN2_HUMAN	
Q14258	Q14258	reviewed	E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147)	Homo sapiens (Human)	630	TRIM25	TRI25_HUMAN	
Q14315	Q14315	reviewed	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	Homo sapiens (Human)	2725	FLNC	FLNC_HUMAN	
Q14318	Q14318	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	Homo sapiens (Human)	412	FKBP8	FKBP8_HUMAN	
Q14344	Q14344	reviewed	Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)	Homo sapiens (Human)	377	GNA13	GNA13_HUMAN	
Q14444	Q14444	reviewed	Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)	Homo sapiens (Human)	709	CAPRIN1	CAPR1_HUMAN	
Q14498	Q14498	reviewed	RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	Homo sapiens (Human)	530	RBM39	RBM39_HUMAN	
Q14562	Q14562	reviewed	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8) (RNA helicase HRH1)	Homo sapiens (Human)	1220	DHX8	DHX8_HUMAN	
Q14566	Q14566	reviewed	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)	Homo sapiens (Human)	821	MCM6	MCM6_HUMAN	
Q14573	Q14573	reviewed	Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)	Homo sapiens (Human)	2671	ITPR3	ITPR3_HUMAN	
Q14596	Q14596	reviewed	Next to BRCA1 gene 1 protein (Cell migration-inducing gene 19 protein) (Membrane component chromosome 17 surface marker 2) (Neighbor of BRCA1 gene 1 protein) (Protein 1A1-3B)	Homo sapiens (Human)	966	NBR1	NBR1_HUMAN	
Q14667	Q14667	reviewed	Protein KIAA0100 (Antigen MLAA-22) (Breast cancer-overexpressed gene 1 protein)	Homo sapiens (Human)	2235	KIAA0100	K0100_HUMAN	CARBOHYD 730 730 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q14669	Q14669	reviewed	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (E3 ubiquitin-protein ligase for Arf) (ULF) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	Homo sapiens (Human)	1992	TRIP12	TRIPC_HUMAN	
Q14671	Q14671	reviewed	Pumilio homolog 1 (HsPUM) (Pumilio-1)	Homo sapiens (Human)	1186	PUM1	PUM1_HUMAN	
Q14676	Q14676	reviewed	Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1)	Homo sapiens (Human)	2089	MDC1	MDC1_HUMAN	
Q14677	Q14677	reviewed	Clathrin interactor 1 (Clathrin-interacting protein localized in the trans-Golgi region) (Clint) (Enthoprotin) (Epsin-4) (Epsin-related protein) (EpsinR)	Homo sapiens (Human)	625	CLINT1	EPN4_HUMAN	
Q14683	Q14683	reviewed	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Sb1.8)	Homo sapiens (Human)	1233	SMC1A	SMC1A_HUMAN	
Q14684	Q14684	reviewed	Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B)	Homo sapiens (Human)	758	RRP1B	RRP1B_HUMAN	
Q14690	Q14690	reviewed	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)	Homo sapiens (Human)	1871	PDCD11	RRP5_HUMAN	
Q14692	Q14692	reviewed	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	Homo sapiens (Human)	1282	BMS1	BMS1_HUMAN	
Q14694	Q14694	reviewed	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	Homo sapiens (Human)	798	USP10	UBP10_HUMAN	
Q14697	Q14697	reviewed	Neutral alpha-glucosidase AB (EC 3.2.1.84) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	Homo sapiens (Human)	944	GANAB	GANAB_HUMAN	CARBOHYD 97 97 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:3881423}.
Q14739	Q14739	reviewed	Lamin-B receptor (Integral nuclear envelope inner membrane protein) (LMN2R)	Homo sapiens (Human)	615	LBR	LBR_HUMAN	
Q14764	Q14764	reviewed	Major vault protein (MVP) (Lung resistance-related protein)	Homo sapiens (Human)	893	MVP	MVP_HUMAN	
Q14781	Q14781	reviewed	Chromobox protein homolog 2	Homo sapiens (Human)	532	CBX2	CBX2_HUMAN	
Q14789	Q14789	reviewed	Golgin subfamily B member 1 (372 kDa Golgi complex-associated protein) (GCP372) (Giantin) (Macrogolgin)	Homo sapiens (Human)	3259	GOLGB1	GOGB1_HUMAN	
Q14839	Q14839	reviewed	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)	Homo sapiens (Human)	1912	CHD4	CHD4_HUMAN	
Q14847	Q14847	reviewed	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)	Homo sapiens (Human)	261	LASP1	LASP1_HUMAN	
Q14966	Q14966	reviewed	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	Homo sapiens (Human)	1978	ZNF638	ZN638_HUMAN	
Q14974	Q14974	reviewed	Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97)	Homo sapiens (Human)	876	KPNB1	IMB1_HUMAN	
Q14978	Q14978	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	Homo sapiens (Human)	699	NOLC1	NOLC1_HUMAN	
Q14980	Q14980	reviewed	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)	Homo sapiens (Human)	2115	NUMA1	NUMA1_HUMAN	CARBOHYD 1844 1844 O-linked (GlcNAc) serine; alternate. {ECO:0000269|PubMed:20068230}.
Q14997	Q14997	reviewed	Proteasome activator complex subunit 4 (Proteasome activator PA200)	Homo sapiens (Human)	1843	PSME4	PSME4_HUMAN	
Q14999	Q14999	reviewed	Cullin-7 (CUL-7)	Homo sapiens (Human)	1698	CUL7	CUL7_HUMAN	
Q14BN4	Q14BN4	reviewed	Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein)	Homo sapiens (Human)	828	SLMAP	SLMAP_HUMAN	
Q14C86	Q14C86	reviewed	GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6)	Homo sapiens (Human)	1478	GAPVD1	GAPD1_HUMAN	
Q15003	Q15003	reviewed	Condensin complex subunit 2 (Barren homolog protein 1) (Chromosome-associated protein H) (hCAP-H) (Non-SMC condensin I complex subunit H) (XCAP-H homolog)	Homo sapiens (Human)	741	NCAPH	CND2_HUMAN	
Q15019	Q15019	reviewed	Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5)	Homo sapiens (Human)	361	SEPT2	SEPT2_HUMAN	
Q15020	Q15020	reviewed	Squamous cell carcinoma antigen recognized by T-cells 3 (SART-3) (Tat-interacting protein of 110 kDa) (Tip110) (p110 nuclear RNA-binding protein)	Homo sapiens (Human)	963	SART3	SART3_HUMAN	
Q15021	Q15021	reviewed	Condensin complex subunit 1 (Chromosome condensation-related SMC-associated protein 1) (Chromosome-associated protein D2) (hCAP-D2) (Non-SMC condensin I complex subunit D2) (XCAP-D2 homolog)	Homo sapiens (Human)	1401	NCAPD2	CND1_HUMAN	
Q15029	Q15029	reviewed	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog) (hSNU114) (U5 snRNP-specific protein, 116 kDa) (U5-116 kDa)	Homo sapiens (Human)	972	EFTUD2	U5S1_HUMAN	
Q15031	Q15031	reviewed	Probable leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	Homo sapiens (Human)	903	LARS2	SYLM_HUMAN	
Q15043	Q15043	reviewed	Zinc transporter ZIP14 (LIV-1 subfamily of ZIP zinc transporter 4) (LZT-Hs4) (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)	Homo sapiens (Human)	492	SLC39A14	S39AE_HUMAN	CARBOHYD 77 77 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 102 102 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.
Q15046	Q15046	reviewed	Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	Homo sapiens (Human)	597	KARS	SYK_HUMAN	
Q15050	Q15050	reviewed	Ribosome biogenesis regulatory protein homolog	Homo sapiens (Human)	365	RRS1	RRS1_HUMAN	
Q15059	Q15059	reviewed	Bromodomain-containing protein 3 (RING3-like protein)	Homo sapiens (Human)	726	BRD3	BRD3_HUMAN	
Q15061	Q15061	reviewed	WD repeat-containing protein 43 (U3 small nucleolar RNA-associated protein 5 homolog)	Homo sapiens (Human)	677	WDR43	WDR43_HUMAN	
Q15075	Q15075	reviewed	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)	Homo sapiens (Human)	1411	EEA1	EEA1_HUMAN	
Q15084	Q15084	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5) (ER protein 5) (ERp5) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)	Homo sapiens (Human)	440	PDIA6	PDIA6_HUMAN	
Q15149	Q15149	reviewed	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	Homo sapiens (Human)	4684	PLEC	PLEC_HUMAN	
Q15154	Q15154	reviewed	Pericentriolar material 1 protein (PCM-1) (hPCM-1)	Homo sapiens (Human)	2024	PCM1	PCM1_HUMAN	
